Area swiggy,Restaurant city swiggy,Restaurant,Price swiggy,Ratings swiggy,Total ratings,Food type swiggy,Customer address swiggy,Delivery time swiggy,_c0,restaurant type,Ratings zomato,Total ratings zomato,Price zomato,online_order,table booking,Food type zomato,Area zomato,Address zomato
Ashok Nagar,Bangalore,Truffles,450.0,4.5,1000,"American,Desserts,Continental,Italian",St. Marks Road,29,6700,Cafe,4.5,3568,900.0,No,No,"Cafe, American, Burger, Steak",Brigade Road,St. Marks Road
Koramangala,Bangalore,Lazeez,500.0,4.2,500,"North Indian,Mughlai",5Th Block,55,3543,Casual Dining,2.4,318,600.0,Yes,No,"North Indian, Mughlai, Biryani",HSR,Koramangala 1st Block
Deccan Gymkhana,Pune,The Chocolate Room,450.0,2.9,80,"Desserts,Continental,Fast Food",Fc Road,39,6291,Cafe,2.8,43,600.0,Yes,No,"Cafe, Beverages",Electronic City,Electronic City
Koti,Hyderabad,Grand Hotel,300.0,4.1,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,24,2423,Quick Bites,3.6,57,500.0,Yes,No,"Hyderabadi, Biryani",Marathahalli,Old Airport Road
Bidhannagar,Kolkata,Balle Balle Dhaba,500.0,4.1,1000,"North Indian,Punjabi,Biryani",Sector 1,59,557,Quick Bites,3.6,195,500.0,Yes,No,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar
New Nallakunta,Hyderabad,Bawarchi,300.0,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,27,638,Quick Bites,3.0,29,400.0,No,No,"North Indian, Chinese",Electronic City,Electronic City
Karve Nagar,Pune,Cheesiano Pizza,500.0,3.9,100,"Italian,Pizzas,Fast Food",Karvenagar,52,1354,Quick Bites,4.0,199,700.0,Yes,Yes,"Pizza, Italian",Bannerghatta Road,JP Nagar
Domlur,Bangalore,Venus Biryani,200.0,4.1,500,Biryani,3Rd Cross,49,6853,Quick Bites,3.0,143,200.0,Yes,No,"Biryani, Chinese",Indiranagar,Domlur
Shivajinagar,Pune,Mainland China,850.0,4.4,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall,53,3728,Casual Dining,4.3,881,1700.0,Yes,Yes,"Chinese, Momos",Basavanagudi,Jayanagar
Malleshwaram,Bangalore,Food Paradise,326.0,3.9,100,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram,53,2190,Quick Bites,3.3,12,500.0,No,No,"North Indian, Chinese, Bengali, Biryani",Whitefield,Whitefield
Ashok Nagar,Bangalore,Corner House Ice Cream,250.0,4.7,1000,"Ice Cream,Desserts",Residency Road,31,1575,Dessert Parlor,4.1,219,400.0,No,No,"Ice Cream, Desserts",Frazer Town,Frazer Town
Ballygunge,Kolkata,Mainland China,850.0,4.5,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge,64,3728,Casual Dining,4.3,881,1700.0,Yes,Yes,"Chinese, Momos",Basavanagudi,Jayanagar
New Tippasandra,Bangalore,Dal Roti Sabji,150.0,4.5,100,North Indian,80Ft Road,54,1689,Quick Bites,4.1,81,150.0,Yes,No,North Indian,Indiranagar,Indiranagar
Ashok Nagar,Bangalore,Mainland China,850.0,4.3,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street,40,3728,Casual Dining,4.3,881,1700.0,Yes,Yes,"Chinese, Momos",Basavanagudi,Jayanagar
Vasanth Nagar,Bangalore,Shezan,600.0,4.3,100,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road,44,5412,Casual Dining,4.1,391,600.0,Yes,No,"Chinese, Continental, North Indian, Mughlai, Steak",Brigade Road,Cunningham Road
Vasanth Nagar,Bangalore,Dolci Desserts,600.0,4.5,50,"Desserts,Pastas",Cunnigham Road,40,1888,"Cafe, Dessert Parlor",4.3,652,750.0,Yes,No,"Cafe, Desserts",Brigade Road,Cunningham Road
Deccan Gymkhana,Pune,Subway,350.0,4.4,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Fc Road,35,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Bandra Area,Mumbai,Smoke House Deli,600.0,4.4,100,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,48,5586,Casual Dining,4.6,2490,1600.0,Yes,No,"European, Italian, Desserts, Salad, Juices, Steak",Brigade Road,Lavelle Road
Ashok Nagar,Bangalore,Oh! Calcutta,800.0,4.3,100,Bengali,Church Street,36,4468,"Casual Dining, Bar",4.4,1105,1200.0,Yes,Yes,"Bengali, Seafood",Brigade Road,Church Street
Shankarapura,Bangalore,Polar Bear,300.0,4.5,100,"Desserts,Fast Food",Vv Puram,38,4751,Dessert Parlor,2.8,40,150.0,Yes,No,Ice Cream,Bannerghatta Road,CV Raman Nagar
Rajajinagar,Bangalore,Kudla Beach,400.0,3.9,20,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road,59,3446,Quick Bites,3.5,141,400.0,Yes,No,"North Indian, South Indian, Seafood, Chinese",Malleshwaram,Rajajinagar
Langford Gardens,Bangalore,Rolls Kitchen,200.0,4.4,500,Fast Food,Shanthi Nagar,35,5066,Quick Bites,3.2,7,250.0,Yes,No,"Fast Food, Rolls",Bellandur,Marathahalli
Koti,Hyderabad,Tibbs Frankie,150.0,4.3,100,Snacks,Hanuman Tekdi Road,29,6636,Quick Bites,2.9,17,200.0,No,No,"Street Food, Rolls",Whitefield,Whitefield
Kalighat,Kolkata,Petuk,350.0,4.0,20,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra,70,4703,Quick Bites,3.7,78,400.0,Yes,No,"Bengali, North Indian, Chinese, Biryani",Whitefield,Whitefield
Ashok Nagar,Bangalore,Shiro,1400.0,4.4,100,"Japanese,Asian",Vittal Mallya Road,44,5416,"Fine Dining, Lounge",4.4,2229,3000.0,Yes,Yes,"Japanese, Asian",Brigade Road,Lavelle Road
Aundh,Pune,Delhi Kitchen,300.0,4.0,100,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road,69,1756,"Takeaway, Delivery",2.9,142,400.0,Yes,No,North Indian,Brookefield,"ITPL Main Road, Whitefield"
Powai Area,Mumbai,Asia Kitchen By Mainland China,850.0,4.3,100,"Asian,Chinese,Oriental",Powai Area,55,466,"Casual Dining, Bar",4.9,2178,1500.0,Yes,Yes,"Asian, Chinese, Thai, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Alwarpet,Chennai,Benjarong,1500.0,4.6,100,Thai,Ttk Road,68,690,Casual Dining,4.2,858,1800.0,Yes,No,"Thai, Asian",Brigade Road,Ulsoor
Kotturpuram,Chennai,Ciclo Cafe,1100.0,4.4,1000,"Continental,Italian,Italian-American",Alwarpet,71,1494,"Cafe, Casual Dining",4.3,1269,1000.0,Yes,No,"Cafe, Italian, American",Indiranagar,Indiranagar
Habsiguda,Hyderabad,Taste Of India,600.0,4.2,20,"North Indian,Chinese,Continental",Habsiguda Main Road,67,6094,Quick Bites,3.1,5,400.0,No,No,"North Indian, Rolls",Bellandur,Bellandur
Ashok Nagar,Bangalore,Beijing Bites,450.0,4.2,500,Chinese,Richmond Road,33,665,Casual Dining,2.7,128,850.0,No,No,"Chinese, Thai",Banashankari,Banashankari
Taltala,Kolkata,Subway,350.0,4.3,500,Fast Food  Healthy Food  Salads  Snacks  Desserts  Beverages,Park Street,49,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Santacruz East,Mumbai,Subway,350.0,4.4,500,"Fast Food,Salads,Snacks,Desserts,Beverages",Central Plaza Kalina,29,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Vasanth Nagar,Bangalore,Rolls On Wheels,300.0,4.3,100,Fast Food,Cunnigham Road,38,5069,Quick Bites,2.6,153,300.0,No,No,"Fast Food, Rolls, Momos",Koramangala 4th Block,Koramangala 1st Block
Thousand Lights,Chennai,Mamagoto,900.0,4.3,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Nugambakkam,55,3764,Casual Dining,4.4,2558,1600.0,Yes,Yes,"Asian, Thai, Chinese, BBQ, Momos",Indiranagar,Indiranagar
Redhills,Hyderabad,Rayalaseema Ruchulu,450.0,4.0,500,"South Indian,Biryani,Rayalaseema",Lakdikapul,39,4972,Casual Dining,3.2,112,700.0,Yes,No,"Andhra, North Indian",Malleshwaram,New BEL Road
Ashok Nagar,Bangalore,Smoor,300.0,4.3,100,"Desserts,Asian,Beverages,Bakery,Italian,Continental,Pizzas,Italian-American",1Mg Road,49,5594,"Cafe, Dessert Parlor",4.2,287,700.0,Yes,No,"Desserts, Cafe, Continental",Malleshwaram,Malleshwaram
Marol Sakinaka,Mumbai,The Bar Stock Exchange,1300.0,2.9,80,"North Indian,Mexican,Continental,Italian",Andheri East,59,6214,"Pub, Casual Dining",4.2,634,1300.0,No,No,"Continental, Chinese, North Indian, Finger Food",Lavelle Road,St. Marks Road
Thousand Lights,Chennai,The Marina,1500.0,4.4,100,Seafood,Nugambakkam,49,6447,Casual Dining,4.4,542,1200.0,No,No,"Seafood, Continental, North Indian, South Indian",Indiranagar,Indiranagar
Santacruz East,Mumbai,Pizza Hut,300.0,3.8,500,"Pizzas,Fast Food",Bkc,33,4729,Casual Dining,2.7,434,750.0,Yes,No,"Pizza, Fast Food",Kalyan Nagar,Kalyan Nagar
Ashok Nagar,Bangalore,Fresh Pressery Cafe,1000.0,4.2,100,"Italian,Salads,Healthy Food,French",Cbd,33,2252,Cafe,4.1,137,1200.0,Yes,No,"Cafe, Healthy Food, Salad, Beverages, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Thousand Lights,Chennai,Bombay Brasserie,900.0,4.3,100,Indian,Nugambakkam,48,902,Casual Dining,4.3,555,1800.0,Yes,No,Modern Indian,Bellandur,Bellandur
Somajiguda,Hyderabad,Kritunga Restaurant,500.0,4.0,1000,"Biryani,Andhra,Rayalaseema,South Indian,North Indian,Chinese",Somajiguda,52,3432,Casual Dining,2.6,330,600.0,No,No,"Andhra, Biryani",Bellandur,Sarjapur Road
Pulikeshi Nagar,Bangalore,Delicacy,400.0,4.2,500,"Chinese,Thai",Cox Town,56,1771,Casual Dining,3.8,219,500.0,Yes,No,"Chinese, Thai, Momos",Marathahalli,CV Raman Nagar
Kilpauk,Chennai,Wangs Kitchen,350.0,4.1,100,"Chinese,Fast Food,Asian",Kellys,46,6935,Casual Dining,2.4,438,1000.0,Yes,No,Chinese,Bellandur,HSR
Rohini,Delhi,Burger King,350.0,4.3,1000,"American,Fast Food",D Mall Twin District Center,35,1016,Food Court,3.5,21,600.0,No,No,"Burger, Fast Food, Beverages",Bellandur,Bellandur
Ashok Nagar,Bangalore,Smoke House Deli,800.0,4.5,500,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Lavelle Road,39,5586,Casual Dining,4.6,2490,1600.0,Yes,No,"European, Italian, Desserts, Salad, Juices, Steak",Brigade Road,Lavelle Road
Prashant Vihar Rohini,Delhi,Subway,350.0,4.1,500,"Fast Food,Salads,Snacks,Desserts,Beverages",Fun City Mall Prashant Vihar,53,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Shyam Bazar,Kolkata,Pizza Hut,350.0,4.1,1000,Fast Food  Pizzas,Shyambazar (218),49,4729,Casual Dining,2.7,434,750.0,Yes,No,"Pizza, Fast Food",Kalyan Nagar,Kalyan Nagar
Langford Gardens,Bangalore,Pizza Hut,600.0,3.8,100,"Pizzas,Fast Food",O'Shngness Road,36,4729,Casual Dining,2.7,434,750.0,Yes,No,"Pizza, Fast Food",Kalyan Nagar,Kalyan Nagar
Anna Nagar,Chennai,Mainland China,850.0,4.3,500,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",5Th Avenue,72,3728,Casual Dining,4.3,881,1700.0,Yes,Yes,"Chinese, Momos",Basavanagudi,Jayanagar
Chembur,Mumbai,Singh Saab,600.0,4.1,1000,"North Indian,Chinese,Biryani,Punjabi,Desserts,Pan-Asian,Tandoor,Combo,Beverages,Indian,Grill",Rc Marg,50,5522,Casual Dining,3.7,243,850.0,Yes,No,North Indian,Indiranagar,Indiranagar
Himayatnagar,Hyderabad,Subway,350.0,4.3,500,"Fast Food,Salads,Snacks,Desserts,Beverages",Himayath Nagar Road,33,5903,Food Court,3.6,12,600.0,Yes,No,"Salad, Fast Food",Bellandur,Bellandur
Kasba Peth,Pune,Coconut Grove,1000.0,2.9,80,"Chettinad,North Indian,Mangalorean,Seafood",Ambedkar Bhavan Station Road,37,1541,"Casual Dining, Bar",3.3,97,1100.0,No,No,"South Indian, Chettinad, Kerala, Seafood",Jayanagar,JP Nagar
Sector 10 Rohini,Delhi,Pind Balluchi,400.0,3.8,100,"Mughlai,North Indian",Metro Walk Mall,40,4714,Casual Dining,4.0,1021,700.0,Yes,Yes,"North Indian, Mughlai",Brigade Road,Brigade Road
Kothapet,Hyderabad,Kritunga Restaurant,500.0,4.0,1000,"Biryani,Andhra,Rayalaseema,South Indian,North Indian,Chinese",Dilsukhnagar Main Road,49,3432,Casual Dining,2.6,330,600.0,No,No,"Andhra, Biryani",Bellandur,Sarjapur Road
Koramangala,Bangalore,Bistro Oui,800.0,4.2,100,Continental,5Th Block,59,854,"Cafe, Bar",4.1,400,1200.0,Yes,Yes,"Cafe, Continental, Salad, Steak","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Nungambakkam,Chennai,Kumarakom,450.0,4.3,500,"North Indian,Chinese,Kerala",Parsn Complex,57,3459,Casual Dining,3.8,1166,600.0,Yes,Yes,"Kerala, Seafood, South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",HSR
Thousand Lights,Chennai,Little Italy,1200.0,4.3,500,"Pizzas,Salads,Combo,Italian,Mexican,Desserts,Beverages",Wallace Garden,48,3609,Casual Dining,4.2,405,1500.0,Yes,Yes,"Salad, Healthy Food, Italian, Juices, Mexican, Pizza",Kalyan Nagar,Kalyan Nagar
Himayatnagar,Hyderabad,Eagles Pizza,150.0,3.7,500,Pizzas,Himayathnagar Road,32,1959,Casual Dining,3.6,14,400.0,Yes,No,"Pizza, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Jayamahal,Bangalore,Five Star Chicken,300.0,4.3,50,Biryani,Jayamahal Extension,46,2130,Quick Bites,2.7,45,300.0,No,No,"Fast Food, Burger",Koramangala 4th Block,Koramangala 6th Block
Thousand Lights,Chennai,Haagen Dazs,500.0,4.2,50,"Ice Cream,Desserts",Palavakkam,47,2489,Dessert Parlor,3.9,77,800.0,Yes,No,"Ice Cream, Desserts",Brigade Road,Koramangala 7th Block
Andheri East,Mumbai,Cafe Coffee Day,300.0,3.9,50,Beverages  Snacks  Desserts,Gokul Regency,61,1085,Cafe,2.3,30,900.0,No,No,"Cafe, Fast Food",Brookefield,Brookefield
Poongavanapuram,Chennai,Anjappar,600.0,4.0,50,"North Indian,Chinese,Chettinad,South Indian,Seafood",Egmore,34,382,Casual Dining,2.7,40,650.0,No,No,"Chettinad, South Indian",Jayanagar,JP Nagar
Rohini,Delhi,Behrouz Biryani,500.0,4.2,500,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",Sector 8,38,664,Delivery,3.9,114,650.0,Yes,No,Biryani,MG Road,Residency Road
Rohini,Delhi,Faasos,200.0,4.1,100,"Combo,Snacks,Beverages,Desserts,Indian",Sector 8,46,2051,Delivery,3.8,101,500.0,Yes,No,"North Indian, Biryani, Fast Food",Brigade Road,Vasanth Nagar
Richmond Town,Bangalore,Kabab Magic,400.0,3.3,100,"North Indian,Chinese",Hosur Road,32,3129,Casual Dining,3.0,451,500.0,Yes,No,"North Indian, Kebab, Fast Food",Brookefield,Marathahalli
Purasaiwakkam,Chennai,Tibbs Frankie,100.0,3.8,100,Fast Food,Purasawalkam,34,6636,Quick Bites,2.9,17,200.0,No,No,"Street Food, Rolls",Whitefield,Whitefield
Santacruz East,Mumbai,Behrouz Biryani,500.0,4.1,100,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",Kalina,34,664,Delivery,3.9,114,650.0,Yes,No,Biryani,MG Road,Residency Road
Rohini,Delhi,Pizza Hut,350.0,3.6,100,Pizzas,Aggarwal City Plaza (13),37,4729,Casual Dining,2.7,434,750.0,Yes,No,"Pizza, Fast Food",Kalyan Nagar,Kalyan Nagar
Ashok Nagar,Bangalore,Church Street Social,500.0,4.2,100,"Indian,Chinese,South Indian,American,Fast Food,Kebabs,Mughlai,Biryani,Combo",Church Street Road,38,1489,Lounge,4.3,7544,1500.0,Yes,No,"American, North Indian, Chinese, Finger Food, Momos",Brigade Road,Church Street
Kothapet,Hyderabad,Spicy Hub,500.0,4.0,1000,"North Indian,Chinese",Kothapet - R.K Puram Road,51,5690,Quick Bites,3.0,26,400.0,No,No,North Indian,Bellandur,Bellandur
Indiranagar,Bangalore,Cafe Terra,299.0,4.3,100,Continental,Double Road First Stage,54,1150,Cafe,2.8,40,700.0,Yes,No,"Cafe, Continental",Basavanagudi,Jayanagar
Santacruz East,Mumbai,Faasos,200.0,4.2,100,"Combo,Snacks,Beverages,Desserts,Indian",Kalina,35,2051,Delivery,3.8,101,500.0,Yes,No,"North Indian, Biryani, Fast Food",Brigade Road,Vasanth Nagar
New Tippasandra,Bangalore,Waffle Magic,200.0,4.2,100,"Beverages,Desserts,Continental",2Nd Stage,57,6915,Cafe,4.1,83,700.0,Yes,No,"Cafe, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Kachiguda,Hyderabad,Cafe Coffee Day,300.0,4.5,20,"Beverages,Snacks,Desserts",Kachiguda Railway Station,36,1085,Cafe,2.3,30,900.0,No,No,"Cafe, Fast Food",Brookefield,Brookefield
Basheer Bagh,Hyderabad,Cafe Coffee Day,300.0,4.1,100,Beverages  Snacks  Desserts,Sri Siva Rama Towers,40,1085,Cafe,2.3,30,900.0,No,No,"Cafe, Fast Food",Brookefield,Brookefield
Bentinck St.,Kolkata,Bhojohori Manna,900.0,4.1,100,Bengali,Beside K.C. Das,42,745,Casual Dining,3.7,662,650.0,Yes,No,"Bengali, Mughlai",Bannerghatta Road,JP Nagar
Indiranagar,Bangalore,Fresh Bites,200.0,4.1,500,"North Indian,South Indian,Chinese,Fast Food,Juices,Tandoor",Indiranagar Double Road,53,2246,Quick Bites,3.3,16,400.0,Yes,No,"Italian, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
Khar West,Mumbai,Shiv Sagar,250.0,4.4,500,South Indian  Continental  Beverages  Ice Cream,Khar West Sv Road,56,5417,Casual Dining,2.8,40,800.0,No,No,"South Indian, North Indian, Chinese",Brigade Road,MG Road
Shaniwar Peth,Pune,Faasos,200.0,4.3,100,"Combo,Snacks,Beverages,Desserts,Indian",Shaniwar Peth,30,2051,Delivery,3.8,101,500.0,Yes,No,"North Indian, Biryani, Fast Food",Brigade Road,Vasanth Nagar
Indiranagar,Bangalore,Nandhana Palace,500.0,4.1,500,"Biryani,Andhra,South Indian,North Indian",Amarjyothi Layout,58,4167,Casual Dining,4.2,1282,800.0,No,No,"Andhra, Biryani, North Indian, Chinese",New BEL Road,New BEL Road
Anna Nagar,Chennai,Cafe Arabica,700.0,4.4,500,"Italian,Continental,Arabian,Bakery",Anna Nagarr,60,1070,"Cafe, Bakery",3.8,69,700.0,No,No,"Cafe, Bakery",Bannerghatta Road,Bannerghatta Road
Koramangala,Bangalore,30 Square,300.0,2.9,80,Chinese,Khb Colony 5Th Block,64,38,Quick Bites,4.2,556,400.0,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Tangra,Kolkata,Sigree Global Grill,700.0,3.8,20,"North Indian,Biryani",Science City Area,77,5499,"Casual Dining, Bar",4.4,1099,1400.0,No,Yes,"North Indian, BBQ",Kalyan Nagar,Kalyan Nagar
Banashankari,Bangalore,Szechuan Dragon,500.0,4.1,500,"Chinese,Thai",Mount Joy Road,57,6015,Casual Dining,4.2,1647,600.0,Yes,No,"Chinese, Thai, Momos",Banashankari,Banashankari
Basavanagudi,Bangalore,Cafe Mondo,500.0,4.4,50,"Pizzas,Italian",Armugam Circle,52,1120,Cafe,3.7,513,600.0,Yes,No,"Cafe, Italian, Beverages",Jayanagar,Basavanagudi
Domlur,Bangalore,Suryawanshi,600.0,4.1,100,"Maharashtrian,Seafood",Double Road,54,5949,Casual Dining,3.7,16,700.0,Yes,No,"Maharashtrian, Seafood",Bannerghatta Road,Bannerghatta Road
Shivajinagar,Pune,Pizza Hut,350.0,3.9,100,"Pizzas,Fast Food",Opposite F C College,36,4729,Casual Dining,2.7,434,750.0,Yes,No,"Pizza, Fast Food",Kalyan Nagar,Kalyan Nagar
Thousand Lights,Chennai,Dhaba Estd 1986 Delhi,900.0,4.2,100,"Biryani,Hyderabadi,North Indian,Indian,Tandoor,Punjabi",Ispahani Center,52,1834,"Casual Dining, Bar",4.3,1287,1100.0,Yes,Yes,"BBQ, Mughlai, Biryani",Marathahalli,Marathahalli
Indiranagar,Bangalore,Dhaba Estd 1986 Delhi,900.0,4.2,100,"Biryani,Hyderabadi,North Indian,Indian,Tandoor,Punjabi",12Th Main,58,1834,"Casual Dining, Bar",4.3,1287,1100.0,Yes,Yes,"BBQ, Mughlai, Biryani",Marathahalli,Marathahalli
Bidhannagar,Kolkata,Pappu Chaiwalla,200.0,4.3,100,Continental  Fast Food  North Indian  Street Food,Near City Centre,52,4599,Quick Bites,3.1,89,300.0,Yes,No,"North Indian, Momos, Rolls, Fast Food",Koramangala 5th Block,BTM
